id;phone_number;alternative_phone_number
1;Directives Arizona;Phased architectures
2;SMS calculating;Pants synthesizing
3;Saint Vincent and the Grenadines Games Steel;Tasty scale
4;Refined Mexican Peso Mexican Unidad de Inversion (UDI);Norwegian Krone Boliviano Mvdol override
5;overriding Research;Vista
6;New Hampshire one-to-one Tasty;Liaison
7;Arkansas Rustic Rubber Tuna Qatar;Corporate Maine Small Metal Towels
8;schemas;drive Pines National
9;Plastic;Triple-buffered Analyst
10;array streamline strategize;Incredible Granite Salad Buckinghamshire Berkshire
